uuid,latitude,longitude,storeType,city,countryCode,houseNumber,houseNumberExtra,postalCode,street,openingDays,machineWorking,supermarketBranch
2a8KYx4XayEAAAFJRJUFS1eI,51.551547,5.106239,SupermarktPuP,Tilburg,NLD,8,,5021 AV,AaBe-straat,{},,jumbo
LKMKYx4XpmYAAAFIH8wYwKxJ,51.544681,5.046396,SupermarktPuP,Tilburg,NLD,13,,5032 AZ,Amer,{},,jumbo
aiMKYx4XpbEAAAFI_FYYwKxK,51.574567,5.084088,SupermarktPuP,Tilburg,NLD,1,,5046 GA,Bart van Peltplein,{},,jumbo
AJAKYx4XAToAAAFIXnEYwKxK,51.546857,5.091938,SupermarktPuP,Tilburg,NLD,74,,5021 LG,Broekhovenseweg,{},,jumbo
HUwKYx4X.UEAAAFm69kxiXo5,51.540760,5.079650,SupermarktPuP,Tilburg,NLD,175,,5022 DD,Stappegoorweg,{},,jumbo
jf8KYx4XLIsAAAFIEnMYwKxK,51.577827,5.005621,SupermarktPuP,Tilburg,NLD,11-17,,5043 RA,Heyhoefpromenade,{},,jumbo
pe0KY7V7l2kAAAGOrYc5FjVg,51.554104,5.079790,SupermarktPuP,Tilburg,NLD,11-12,,5038 TS,Lieve Vrouweplein,{},,jumbo
34kKYx4XJrYAAAFI1XMYwKxK,51.540449,5.094109,SupermarktPuP,Tilburg,NLD,105,,5022 EH,Pater van de Elsenplein,{},,jumbo
zv0KY7XZdywAAAFyhKJNNipI,51.540121,5.090601,SupermarktPuP,Tilburg,NLD,35,,5022 EG,Pater van de Elsenplein,{},,jumbo
nScKYx4XyrEAAAFIetYYwKxK,51.536608,5.045190,PuP,Tilburg,NLD,5,,5032 MG,Rosa Castellanosstraat,{},,jumbo
cWUKYx4X_EwAAAFo0AFvHysH,51.584365,5.085556,SupermarktPuP,Tilburg,NLD,18,,5011 LP,Wagnerplein,{},,jumbo
axQKYx4XpNsAAAFqrFh4_7Ox,51.568331,5.052745,SupermarktPuP,Tilburg,NLD,38,,5042 MD,Westermarkt,{},,jumbo
m74KYx4XTRQAAAFIDH4YwKxK,51.856504,6.101176,SupermarktPuP,Tolkamer,NLD,78a,,6916 AZ,'s-Gravenwaardsedijk,{},,jumbo
UksKYx4XSAUAAAFU2o5EfXTT,52.235426,6.099551,SupermarktPuP,Twello,NLD,101,,7391 CT,Michiel de Ruyterstraat,{},,jumbo
xG0KY7XFzGMAAAF7JdRFw3gV,51.662699,5.631399,SupermarktPuP,Uden,NLD,14-18,,5403 ET,Drossaard,{},,jumbo
hSMKYx4XOWgAAAFqXNEdbY.k,51.655018,5.620601,SupermarktPuP,Uden,NLD,2,,5404 NJ,Losplaats,{},,jumbo
iBsKYx4XP2UAAAFI2nMYwKxK,51.669460,5.612578,SupermarktPuP,Uden,NLD,11,,5402 CR,Muziekplein,{},,jumbo
OScKYx4XuxQAAAFlcUszR8X7,51.608128,5.152860,SupermarktPuP,Udenhout,NLD,149,,5071 BC,Kreitenmolenstraat,{},,jumbo
.JAKYx4Xe.AAAAFIWJ8YwKxK,52.530769,4.708856,SupermarktPuP,Uitgeest,NLD,1-3,,1911 SM,Melis Stokelaan,{},,jumbo
